XP_006965674.1	XP_006965674.1	100
XP_006965674.1	XP_065971929.1	85.1
XP_006965674.1	XP_024761505.2	84.4
XP_006965674.1	XP_024769765.1	83.7
XP_006965674.1	XP_018661465.1	82.8
XP_006965674.1	XP_056026443.1	83.0
XP_006965674.1	XP_024749210.1	84.6
XP_006965674.1	XP_013952935.1	84.6
XP_006965674.1	XP_062750362.1	82.7
XP_006965674.1	XP_003653757.1	72.3
XP_006965674.1	XP_064666239.1	70.5
XP_006965674.1	XP_062648320.1	66.1
XP_006965674.1	XP_062718615.1	68.7
XP_006965674.1	XP_018034582.1	64.3
XP_006965674.1	XP_003663441.1	66.3
XP_006965674.1	XP_056766407.1	63.9
XP_006965674.1	XP_057010565.1	62.6
XP_006965674.1	XP_056555967.1	64.5
XP_006965674.1	XP_069301341.1	64.3
XP_006965674.1	XP_056832853.1	63.8
XP_006965674.1	XP_056977316.1	63.9
XP_006965674.1	XP_043161005.1	67.0
XP_006965674.1	XP_026614649.1	65.1
XP_006965674.1	XP_057049849.1	62.1
XP_006965674.1	XP_066724132.1	62.0
XP_003054277.1	XP_003054277.1	100
XP_003054277.1	XP_044686410.1	74.9
XP_003054277.1	XP_044711121.1	74.8
XP_003054277.1	XP_069297266.1	63.7
XP_003054277.1	XP_062655661.1	63.3
XP_003054277.1	XP_003660789.1	62.8
XP_003054277.1	XP_053035549.1	64.7
XP_003054277.1	XP_062774591.1	62.9
XP_003054277.1	XP_040719157.1	64.3
XP_003054277.1	XP_064673538.1	61.3
XP_003054277.1	XP_003653508.1	63.9
XP_003054277.1	XP_062722272.1	63.5
XP_003054277.1	XP_070920387.1	63.1
XP_003054277.1	XP_053054715.1	64.2
XP_003054277.1	XP_066732321.1	61.7
XP_003054277.1	XP_062801129.1	62.6
XP_003054277.1	XP_062766458.1	62.6
XP_003054277.1	XP_062744226.1	62.4
XP_003054277.1	XP_062732958.1	61.7
XP_003054277.1	XP_028496915.1	61.5
XP_003054277.1	XP_066695452.1	62.1
XP_003054277.1	XP_060296754.1	61.2
XP_003054277.1	XP_066690058.1	60.7
XP_003054277.1	XP_070062142.1	56.8
XP_003054277.1	XP_066642641.1	61.2
XP_006969224.1	XP_006969224.1	100
XP_006969224.1	XP_024748275.1	95.3
XP_006969224.1	XP_013954979.1	82.1
XP_006969224.1	XP_024771708.1	79.0
XP_006969224.1	XP_062752973.1	76.7
XP_006969224.1	XP_013944336.1	74.7
XP_006969224.1	XP_024761559.1	75.0
XP_006969224.1	XP_056832435.1	66.4
XP_006969224.1	XP_002149324.1	59.7
XP_006969224.1	XP_003653508.1	61.1
XP_006969224.1	XP_069297266.1	58.3
XP_006969224.1	XP_057050272.1	65.1
XP_006969224.1	XP_073641836.1	66.4
XP_006969224.1	XP_003660789.1	57.8
XP_006969224.1	XP_031898322.1	63.2
XP_006969224.1	XP_040719157.1	59.5
XP_006969224.1	XP_062722272.1	58.7
XP_006969224.1	XP_066690058.1	57.8
XP_006969224.1	XP_018132641.1	57.9
XP_006969224.1	XP_062655661.1	56.6
XP_006969224.1	XP_015404740.1	62.9
XP_006969224.1	XP_031935264.1	62.7
XP_006969224.1	XP_001818879.1	62.8
XP_006969224.1	XP_031910606.1	62.6
XP_006969224.1	XP_066642641.1	61.4
NP_523561.1	NP_523561.1	100
XP_062750362.1	XP_062750362.1	100
XP_062750362.1	XP_024769765.1	95.9
XP_062750362.1	XP_056026443.1	95.7
XP_062750362.1	XP_013952935.1	88.6
XP_062750362.1	XP_065971929.1	84.1
XP_062750362.1	XP_006965674.1	81.9
XP_062750362.1	XP_024761505.2	82.6
XP_062750362.1	XP_018661465.1	81.6
XP_062750362.1	XP_024749210.1	74.1
XP_062750362.1	XP_064666239.1	70.9
XP_062750362.1	XP_003653757.1	70.0
XP_062750362.1	XP_062718615.1	65.8
XP_062750362.1	XP_018034582.1	65.7
XP_062750362.1	XP_062648320.1	66.2
XP_062750362.1	XP_003663441.1	65.0
XP_062750362.1	XP_026614649.1	66.9
XP_062750362.1	XP_069301341.1	66.3
XP_062750362.1	XP_056766407.1	65.2
XP_062750362.1	XP_057010565.1	64.0
XP_062750362.1	XP_056977316.1	66.4
XP_062750362.1	XP_056555967.1	65.9
XP_062750362.1	XP_073641490.1	66.0
XP_062750362.1	XP_057049849.1	65.8
XP_062750362.1	XP_056832853.1	65.5
XP_062750362.1	XP_033417327.1	66.2
XP_062752973.1	XP_062752973.1	100
